timestamp,temp,humidity,pressure,wind_speed,rain_mm,duration_min
2025-01-01 00:00:00,30.0,84.9,1011.9,2.55,0.0,0.0
2025-01-01 00:10:00,28.7,84.5,1004.7,2.52,0.0,0.0
2025-01-01 00:20:00,30.3,91.1,1010.4,1.53,0.0,0.0
2025-01-01 00:30:00,32.0,79.6,1007.6,2.8,0.0,0.0
2025-01-01 00:40:00,28.5,81.2,1007.8,1.27,0.0,0.0
2025-01-01 00:50:00,28.5,90.2,1001.1,1.69,0.0,0.0
2025-01-01 01:00:00,32.2,82.0,1000.4,2.24,0.0,0.0
2025-01-01 01:10:00,30.5,89.5,1006.3,1.57,0.0,0.0
2025-01-01 01:20:00,28.1,93.5,1007.7,2.13,0.0,0.0
2025-01-01 01:30:00,30.1,83.0,1003.6,2.12,0.0,0.0
2025-01-01 01:40:00,28.1,88.4,1003.7,1.91,0.0,0.0
2025-01-01 01:50:00,28.1,79.2,1008.7,2.42,0.0,0.0
2025-01-01 02:00:00,29.5,88.8,1008.7,1.89,0.0,0.0
2025-01-01 02:10:00,25.2,86.0,1006.6,2.12,0.0,0.0
2025-01-01 02:20:00,25.6,87.4,1009.3,2.57,0.0,0.0
2025-01-01 02:30:00,27.9,81.8,1003.5,2.4,0.0,0.0
2025-01-01 02:40:00,27.0,76.7,1005.9,2.39,0.0,0.0
2025-01-01 02:50:00,29.6,87.5,1011.9,1.43,0.0,0.0
2025-01-01 03:00:00,27.2,74.7,1007.2,2.26,0.0,0.0
2025-01-01 03:10:00,26.2,83.4,1007.4,1.56,0.0,0.0
2025-01-01 03:20:00,31.9,89.7,1013.9,1.36,0.0,0.0
2025-01-01 03:30:00,28.5,86.0,1002.8,1.96,0.0,0.0
2025-01-01 03:40:00,29.1,94.7,1009.4,1.55,0.0,0.0
2025-01-01 03:50:00,26.2,90.1,1012.0,2.4,0.0,0.0
2025-01-01 04:00:00,27.9,81.7,1006.0,2.41,0.0,0.0
2025-01-01 04:10:00,29.2,85.1,1009.6,1.05,0.0,0.0
2025-01-01 04:20:00,26.7,84.8,1004.1,1.59,0.0,0.0
2025-01-01 04:30:00,29.8,77.1,1004.9,1.27,0.0,0.0
2025-01-01 04:40:00,27.8,80.3,1008.2,1.77,0.0,0.0
2025-01-01 04:50:00,28.4,82.2,1009.4,2.23,0.0,0.0
2025-01-01 05:00:00,27.8,74.8,1010.4,1.88,0.0,0.0
2025-01-01 05:10:00,32.7,85.2,1011.7,1.71,0.0,0.0
2025-01-01 05:20:00,29.0,83.8,1006.8,2.65,0.0,0.0
2025-01-01 05:30:00,26.9,76.6,1010.6,0.85,0.0,0.0
2025-01-01 05:40:00,30.6,87.0,1006.0,2.62,0.0,0.0
2025-01-01 05:50:00,26.6,88.6,1009.7,1.73,0.0,0.0
